Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo WebShop SmokeSuite Execution,Chrome 127.0.0.0,,,13-08-2024 18:21:06,13-08-2024 18:22:16,1m - 10.020s,PASSED
,,,,,,,
Test Cases/Registration/TC001_Verify that User is able to Register,Chrome 127.0.0.0,,,13-08-2024 18:21:07,13-08-2024 18:21:23,16.472s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,13-08-2024 18:21:07,13-08-2024 18:21:09,1.792s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 127.0.0.0,,,13-08-2024 18:21:09,13-08-2024 18:21:13,4.282s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,13-08-2024 18:21:13,13-08-2024 18:21:13,0.123s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop/a_Register""))",Chrome 127.0.0.0,,,13-08-2024 18:21:13,13-08-2024 18:21:15,1.603s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Gender_Gender""))",Chrome 127.0.0.0,,,13-08-2024 18:21:15,13-08-2024 18:21:15,0.572s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_First name_FirstName""), ""Nitesh"")",Chrome 127.0.0.0,,,13-08-2024 18:21:15,13-08-2024 18:21:16,0.920s,PASSED
"myEmailAddress = ""thisismyaddress"" + System.nanoTime() + ""@test.com""",Chrome 127.0.0.0,,,13-08-2024 18:21:16,13-08-2024 18:21:16,0.024s,PASSED
"passWord = ""nitesh123""",Chrome 127.0.0.0,,,13-08-2024 18:21:16,13-08-2024 18:21:16,0.004s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Last name_LastName""), ""TestAutomation"")",Chrome 127.0.0.0,,,13-08-2024 18:21:16,13-08-2024 18:21:17,0.789s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Email_Email""), myEmailAddress)",Chrome 127.0.0.0,,,13-08-2024 18:21:17,13-08-2024 18:21:18,0.914s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Password_Password""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,13-08-2024 18:21:18,13-08-2024 18:21:18,0.494s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input_Confirm password_ConfirmPassword""), ""M2QPTmdpEDqAc7bqT3oqOA=="")",Chrome 127.0.0.0,,,13-08-2024 18:21:18,13-08-2024 18:21:19,0.503s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/input__register-button""))",Chrome 127.0.0.0,,,13-08-2024 18:21:19,13-08-2024 18:21:21,1.708s,PASSED
"doubleClick(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/div_Your registration completed""))",Chrome 127.0.0.0,,,13-08-2024 18:21:21,13-08-2024 18:21:21,0.591s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/div_Your registration completed""))",Chrome 127.0.0.0,,,13-08-2024 18:21:21,13-08-2024 18:21:22,0.317s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/registration_success_message""), 2)",Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.343s,PASSED
"confirmation = getText(findTestObject(""Object Repository/Registration/Page_Demo Web Shop. Register/registration_success_message""))",Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.312s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.004s,PASSED
log.logInfo(confirmation),Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.004s,PASSED
"log.logInfo(""LoginId: "" + myEmailAddress)",Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.004s,PASSED
"log.logInfo(""Password: "" + passWord)",Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:22,0.004s,PASSED
takeScreenshot(),Chrome 127.0.0.0,,,13-08-2024 18:21:22,13-08-2024 18:21:23,0.489s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,13-08-2024 18:21:23,13-08-2024 18:21:23,0.305s,PASSED
,,,,,,,
Test Cases/Login/TC002_Verify user is successfully login to the application,Chrome 127.0.0.0,,,13-08-2024 18:21:23,13-08-2024 18:21:32,8.676s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,13-08-2024 18:21:23,13-08-2024 18:21:24,0.901s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 127.0.0.0,,,13-08-2024 18:21:24,13-08-2024 18:21:27,2.484s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,13-08-2024 18:21:27,13-08-2024 18:21:27,0.097s,PASSED
"click(findTestObject(""Object Repository/Login/Page_Demo Web Shop/a_Log in""))",Chrome 127.0.0.0,,,13-08-2024 18:21:27,13-08-2024 18:21:28,0.948s,PASSED
